17:03.8,18FFE040,5,5C,59,1,BA,6,80,13
17:03.8,18FFE040,5,5C,5E,1,D3,6,80,13
17:03.8,18FFE040,5,5C,59,1,BA,6,80,13
17:03.8,18FFE040,5,5C,56,1,AA,6,7E,13
17:03.8,18FFE040,5,5C,59,1,B9,6,7E,13
17:03.8,18FFE040,5,5C,5B,1,C3,6,7E,13
17:03.8,18FFE040,5,5C,56,1,AA,6,7E,13
17:03.8,18FFE040,5,5C,5B,1,C3,6,7E,13
17:03.8,18FFE040,5,5C,5B,1,C3,6,7E,13
17:03.8,18FFE040,5,5C,61,1,E1,6,7E,13
17:04.2,18FFE040,5,5C,53,1,9B,6,7E,13
17:04.2,18FFE040,5,5C,56,1,AA,6,7E,13
17:04.2,18FFE040,5,5C,56,1,AB,6,80,13
17:04.2,18FFE040,5,5C,59,1,BA,6,80,13
17:04.2,18FFE040,5,5C,59,1,BA,6,80,13
17:04.2,18FFE040,5,5C,9C,1,7,8,7E,13
17:04.2,18FFE040,5,5C,59,1,B9,6,7E,13
17:04.5,18FFE040,5,5C,5E,1,D3,6,80,13
17:04.5,18FFE040,5,5C,33,0,FE,0,80,13
17:04.5,18FFE040,5,5C,56,1,AB,6,80,13
17:04.5,18FFE040,5,5C,ED,0,9F,4,80,13
17:04.5,18FFE040,5,5C,5B,1,C4,6,80,13
17:04.5,18FFE040,5,5C,56,1,AA,6,7E,13
17:04.5,18FFE040,5,5C,59,1,B9,6,7E,13
17:04.8,18FFE040,5,5C,53,1,9B,6,7E,13
17:04.8,18FFE040,5,5C,56,1,AB,6,80,13
17:04.8,18FFE040,5,5C,EA,0,8F,4,7E,13
17:04.8,18FFE040,5,5C,53,1,9C,6,80,13
17:04.8,18FFE040,5,5C,5B,1,C3,6,7E,13
17:04.8,18FFE040,5,5C,DF,0,59,4,80,13
17:04.9,18FFE040,5,5C,59,1,BA,6,80,13
17:05.2,18FFE040,5,5C,6B,1,14,7,80,13
17:05.2,18FFE040,5,5C,56,1,AB,6,80,13
17:05.2,18FFE040,5,5C,61,1,E1,6,7E,13
17:05.2,18FFE040,5,5C,38,0,17,1,7E,13
17:05.2,18FFE040,5,5C,56,1,AA,6,7E,13
17:05.2,18FFE040,5,5C,5B,1,C3,6,7E,13
17:05.2,18FFE040,5,5C,56,1,AB,6,80,13
17:05.5,18FFE040,5,5C,5E,1,D3,6,80,13
17:05.5,18FFE040,5,5C,59,1,BA,6,80,13
17:05.5,18FFE040,5,5C,66,1,FB,6,80,13
17:05.5,18FFE040,5,5C,56,1,AB,6,80,13
17:05.5,18FFE040,5,5C,5,1,16,5,80,13
17:05.5,18FFE040,5,5C,5E,1,D3,6,80,13
17:05.5,18FFE040,5,5C,56,1,AB,6,81,13
17:05.9,18FFE040,5,5C,38,0,17,1,80,13
17:05.9,18FFE040,5,5C,59,1,BA,6,80,13
17:05.9,18FFE040,5,5C,5E,1,D3,6,80,13
17:05.9,18FFE040,5,5C,56,1,AA,6,7E,13
17:05.9,18FFE040,5,5C,59,1,B9,6,7E,13
17:05.9,18FFE040,5,5C,2D,1,DE,5,80,13
17:06.2,18FFE040,5,5C,5B,1,C4,6,80,13
17:06.2,18FFE040,5,5C,56,1,AB,6,80,13
17:06.2,18FFE040,5,5C,76,1,4B,7,80,13
17:06.2,18FFE040,5,5C,5B,1,C4,6,80,13
17:06.2,18FFE040,5,5C,59,1,B9,6,7E,13
17:06.2,18FFE040,5,5C,1B,1,84,5,80,13
17:06.2,18FFE040,5,5C,59,1,BA,6,80,13
17:06.6,18FFE040,5,5C,66,1,FB,6,80,13
17:06.6,18FFE040,5,5C,56,1,AB,6,80,13
17:06.6,18FFE040,5,5C,5E,1,D3,6,80,13
17:06.6,18FFE040,5,5C,56,1,AB,6,80,13
17:06.6,18FFE040,5,5C,5B,1,C4,6,80,13
17:06.6,18FFE040,5,5C,5B,1,C4,6,80,13
17:06.6,18FFE040,5,5C,53,1,9C,6,80,13
17:06.6,18FFE040,5,5C,5B,1,C4,6,80,13
17:06.9,18FFE040,5,5C,56,1,AB,6,80,13
17:06.9,18FFE040,5,5C,EA,1,8E,9,80,13
17:06.9,18FFE040,5,5C,56,1,AB,6,80,13
17:06.9,18FFE040,5,5C,5B,1,C4,6,80,13
17:06.9,18FFE040,5,5C,56,1,AB,6,81,13
17:06.9,18FFE040,5,5C,81,1,81,7,80,13
17:07.2,18FFE040,5,5C,53,1,9C,6,80,13
17:07.2,18FFE040,5,5C,4E,1,83,6,80,13
17:07.3,18FFE040,5,5C,59,1,BA,6,80,13
17:07.3,18FFE040,5,5C,59,1,BA,6,80,13
17:07.3,18FFE040,5,5C,5E,1,D3,6,80,13
17:07.3,18FFE040,5,5C,5B,1,C4,6,80,13
17:07.3,18FFE040,5,5C,46,1,5B,6,80,13
17:07.6,18FFE040,5,5C,59,1,BA,6,80,13
17:07.6,18FFE040,5,5C,56,1,AB,6,80,13
17:07.6,18FFE040,5,5C,59,1,BA,6,80,13
17:07.6,18FFE040,5,5C,5E,1,D3,6,80,13
17:07.6,18FFE040,5,5C,5E,1,D3,6,80,13
17:07.6,18FFE040,5,5C,E5,0,77,4,80,13
17:07.6,18FFE040,5,5C,0,0,0,0,80,13
17:07.9,18FFE040,5,5C,56,1,AB,6,80,13
17:07.9,18FFE040,5,5C,18,1,75,5,80,13
17:07.9,18FFE040,5,5C,59,1,BA,6,80,13
17:07.9,18FFE040,5,5C,59,1,BA,6,80,13
17:07.9,18FFE040,5,5C,53,1,9B,6,7E,13
17:07.9,18FFE040,5,5C,4B,1,74,6,81,13
17:08.0,18FFE040,5,5C,5B,1,C4,6,80,13
17:08.3,18FFE040,5,5C,69,1,0A,7,80,13
17:08.3,18FFE040,5,5C,59,1,BA,6,80,13
17:08.3,18FFE040,5,5C,53,1,9C,6,80,13
17:08.3,18FFE040,5,5C,59,1,BA,6,80,13
17:08.3,18FFE040,5,5C,5E,1,D3,6,80,13
17:08.3,18FFE040,5,5C,38,0,17,1,80,13
17:08.3,18FFE040,5,5C,59,1,BA,6,80,13
17:08.7,18FFE040,5,5C,53,1,9C,6,80,13
17:08.7,18FFE040,5,5C,56,1,AB,6,80,13
17:08.7,18FFE040,5,5C,5E,1,D3,6,80,13
17:08.7,18FFE040,5,5C,56,1,AB,6,80,13
17:08.7,18FFE040,5,5C,5E,1,D3,6,80,13
17:08.7,18FFE040,5,5C,59,1,BA,6,80,13
17:08.7,18FFE040,5,5C,1B,1,84,5,80,13
17:09.0,18FFE040,5,5C,5E,1,D3,6,80,13
17:09.0,18FFE040,5,5C,59,1,BA,6,80,13
17:09.0,18FFE040,5,5C,5E,1,D3,6,80,13
17:09.0,18FFE040,5,5C,5E,1,D3,6,80,13
17:09.0,18FFE040,5,5C,5E,1,D3,6,80,13
17:09.0,18FFE040,5,5C,61,1,E2,6,80,13
17:09.0,18FFE040,5,5C,61,1,E2,6,80,13
17:09.3,18FFE040,5,5C,59,1,BA,6,80,13
17:09.3,18FFE040,5,5C,59,1,BA,6,80,13
17:09.3,18FFE040,5,5C,59,1,BA,6,80,13
17:09.3,18FFE040,5,5C,61,1,E2,6,80,13
17:09.3,18FFE040,5,5C,5B,1,C4,6,80,13
17:09.3,18FFE040,5,5C,5E,1,D3,6,80,13
