41:50.8,18FFE040,5,50,97,1,EE,7,7C,13
41:51.3,18FFE040,5,50,9C,1,7,8,7E,13
41:51.3,18FFE040,5,50,97,1,EE,7,7C,13
41:51.3,18FFE040,5,50,9C,1,7,8,7C,13
41:51.3,18FFE040,5,50,94,1,DF,7,7C,13
41:51.3,18FFE040,5,50,99,1,F8,7,7C,13
41:51.3,18FFE040,5,50,97,1,EE,7,7C,13
41:51.3,18FFE040,5,50,97,1,EE,7,7C,13
41:51.3,18FFE040,5,50,97,1,EE,7,7C,13
41:51.3,18FFE040,5,50,48,0,67,1,7C,13
41:51.3,18FFE040,5,50,9F,1,16,8,7C,13
41:51.3,18FFE040,5,50,A7,2,3A,0D,7C,13
41:51.3,18FFE040,5,50,94,1,DF,7,7C,13
41:51.3,18FFE040,5,50,94,1,DF,7,7C,13
41:51.3,18FFE040,5,50,97,1,EE,7,7C,13
41:52.0,18FFE040,5,50,99,1,F8,7,7C,13
41:52.0,18FFE040,5,50,9C,1,7,8,7C,13
41:52.0,18FFE040,5,50,91,1,D0,7,7C,13
41:52.0,18FFE040,5,50,A9,1,47,8,7C,13
41:52.0,18FFE040,5,50,94,1,DF,7,7C,13
41:52.0,18FFE040,5,50,94,1,DF,7,7C,13
41:52.0,18FFE040,5,50,97,1,EE,7,7C,13
41:52.0,18FFE040,5,50,50,1,8B,6,7C,13
41:52.0,18FFE040,5,50,91,1,D0,7,7C,13
41:52.0,18FFE040,5,50,86,1,9A,7,80,13
41:52.0,18FFE040,5,50,97,1,EE,7,7C,13
41:52.0,18FFE040,5,50,97,1,EE,7,7C,13
41:52.0,18FFE040,5,50,9C,1,7,8,7C,13
41:52.0,18FFE040,5,50,8E,1,C1,7,7C,13
41:52.7,18FFE040,5,50,99,1,F8,7,7C,13
41:52.7,18FFE040,5,50,97,1,EE,7,7C,13
41:52.7,18FFE040,5,50,94,1,DF,7,7C,13
41:52.7,18FFE040,5,50,97,1,EE,7,7C,13
41:52.7,18FFE040,5,50,6B,1,12,7,7C,13
41:52.7,18FFE040,5,50,97,1,EE,7,7E,13
41:52.7,18FFE040,5,50,66,0,FC,1,7C,13
41:52.7,18FFE040,5,50,91,1,D0,7,7C,13
41:52.7,18FFE040,5,50,81,1,80,7,7C,13
41:52.7,18FFE040,5,50,7C,1,67,7,7C,13
41:52.7,18FFE040,5,50,97,1,EE,7,7C,13
41:52.7,18FFE040,5,50,9F,1,16,8,7C,13
41:52.7,18FFE040,5,50,97,1,EE,7,7C,13
41:52.7,18FFE040,5,50,9C,1,7,8,7C,13
41:53.0,18FFE040,5,50,94,1,DF,7,7C,13
41:53.4,18FFE040,5,50,AC,1,56,8,7C,13
41:53.4,18FFE040,5,50,99,1,F8,7,7C,13
41:53.4,18FFE040,5,50,99,1,F8,7,7C,13
41:53.4,18FFE040,5,50,97,1,EE,7,7C,13
41:53.4,18FFE040,5,50,99,1,F8,7,7C,13
41:53.4,18FFE040,5,50,69,1,8,7,7C,13
41:53.4,18FFE040,5,50,97,1,EE,7,7C,13
41:53.4,18FFE040,5,50,97,1,EE,7,7C,13
41:53.5,18FFE040,5,50,97,1,EE,7,7C,13
41:53.5,18FFE040,5,50,A1,1,1F,8,7C,13
41:53.5,18FFE040,5,50,94,1,DF,7,7C,13
41:53.5,18FFE040,5,50,9F,1,16,8,7C,13
41:53.5,18FFE040,5,50,99,1,F8,7,7C,13
41:53.5,18FFE040,5,50,0,2,F9,9,7C,13
41:54.1,18FFE040,5,50,9C,1,7,8,7C,13
41:54.1,18FFE040,5,50,8C,1,B8,7,7E,13
41:54.2,18FFE040,5,50,81,1,81,7,7E,13
