30:22.3,18FFE040,5,44,3B,1,1B,6,62,13
30:22.3,18FFE040,5,44,1D,1,86,5,62,13
30:22.3,18FFE040,5,44,23,1,A4,5,64,13
30:22.3,18FFE040,5,44,2D,1,D5,5,62,13
30:22.3,18FFE040,5,44,25,1,AE,5,64,13
30:22.4,18FFE040,5,44,1D,1,86,5,62,13
30:22.4,18FFE040,5,44,1D,1,86,5,62,13
30:22.5,18FFE040,5,44,35,1,FD,5,62,13
30:22.5,18FFE040,5,44,AF,1,5B,8,64,13
30:22.5,18FFE040,5,44,1D,1,86,5,62,13
30:22.6,18FFE040,5,44,18,1,6D,5,62,13
30:22.7,18FFE040,5,44,23,1,A4,5,64,13
30:22.7,18FFE040,5,44,1D,1,86,5,62,13
30:22.8,18FFE040,5,44,25,1,AE,5,64,13
30:22.8,18FFE040,5,44,20,1,95,5,62,13
30:22.9,18FFE040,5,44,12,1,50,5,64,13
30:22.9,18FFE040,5,44,20,1,95,5,64,13
30:23.0,18FFE040,5,44,28,1,BD,5,64,13
30:23.0,18FFE040,5,44,23,1,A4,5,64,13
30:23.1,18FFE040,5,44,7E,1,68,7,64,13
30:23.1,18FFE040,5,44,25,1,AE,5,64,13
30:23.2,18FFE040,5,44,15,1,5F,5,64,13
30:23.3,18FFE040,5,44,CA,0,EA,3,64,13
30:23.3,18FFE040,5,44,28,1,BD,5,64,13
30:23.3,18FFE040,5,44,2D,1,D6,5,64,13
30:23.4,18FFE040,5,44,25,1,AD,5,62,13
30:23.4,18FFE040,5,44,1B,1,7C,5,62,13
30:23.4,18FFE040,5,44,25,1,AE,5,64,13
30:23.5,18FFE040,5,44,20,1,95,5,64,13
30:23.6,18FFE040,5,44,20,1,95,5,62,13
30:23.6,18FFE040,5,44,1B,1,7C,5,64,13
30:23.7,18FFE040,5,44,2B,1,CC,5,64,13
30:23.8,18FFE040,5,44,2D,1,D5,5,62,13
30:23.8,18FFE040,5,44,25,1,AE,5,64,13
30:23.8,18FFE040,5,44,2B,1,CC,5,64,13
30:23.9,18FFE040,5,44,23,1,A4,5,64,13
30:23.9,18FFE040,5,44,5,1,0F,5,62,13
30:23.9,18FFE040,5,44,25,1,AE,5,64,13
30:24.0,18FFE040,5,44,20,1,95,5,64,13
30:24.1,18FFE040,5,44,28,1,BD,5,64,13
30:24.1,18FFE040,5,44,23,1,A4,5,64,13
30:24.2,18FFE040,5,44,43,1,43,6,64,13
30:24.2,18FFE040,5,44,25,1,AE,5,64,13
30:24.3,18FFE040,5,44,2B,1,CC,5,64,13
30:24.3,18FFE040,5,44,F7,0,CA,4,64,13
30:24.4,18FFE040,5,44,23,1,A4,5,64,13
30:24.4,18FFE040,5,44,25,1,AD,5,62,13
30:24.5,18FFE040,5,44,23,1,A4,5,64,13
30:24.5,18FFE040,5,44,25,1,AE,5,64,13
30:24.5,18FFE040,5,44,8,1,1D,5,62,13
30:24.6,18FFE040,5,44,28,1,BD,5,64,13
30:24.7,18FFE040,5,44,0,0,0,0,64,13
30:24.7,18FFE040,5,44,28,1,BD,5,64,13
30:24.7,18FFE040,5,44,23,1,A4,5,64,13
30:24.8,18FFE040,5,44,28,1,BD,5,64,13
30:24.8,18FFE040,5,44,1D,1,86,5,64,13
30:24.9,18FFE040,5,44,2D,1,D6,5,64,13
30:25.0,18FFE040,5,44,23,1,A4,5,64,13
30:25.0,18FFE040,5,44,20,1,95,5,62,13
30:25.1,18FFE040,5,44,25,1,AE,5,64,13
30:25.1,18FFE040,5,44,23,1,A4,5,64,13
